id,name,domain,description,detector_hint,mitre_ids,stride,cvss_equiv,dread_components,maestro_tags,epss_kev,ioc_hint,playbook_hint,data_sources,extract_pattern
F001,Rare Parent-Child Execution,endpoint,Parent process spawning a rarely-seen child executable on host,"EDR process trees; look for parent->child where child hash new or unsigned",T1059;T1204,Tampering,AV:L;AC:L,Damage:High;Exploitability:Medium,code_exec;persistence,KEV:RELATED,sha256 present,Isolate host;collect EDR,EDR/sysmon,process_parent=="*" AND child_hash not in known_hashes
F002,Autorun Persistence After Binary Write,endpoint,New autorun entry created after executable write to program dirs,"File write to Program Files/Startup + registry autorun entry",T1547,Repudiation,AV:L;AC:L,Damage:High,execution;persistence,,file_path,Remove autorun;quarantine file,EDR,file_path matches '.*\\(Startup|Program Files|AppData).*' AND registry key created
F003,Rapid File Encryption Wave,endpoint,Many files encrypted on endpoint within short time window,"Count file write events with extensions changed to .encrypted or high entropy writes",T1486,Information Disclosure,AV:L,Damage:Critical,exploitability:Medium,ransomware;data_encryption,EPSS:HIGH,sha256s,Isolate host;restore from backup,EDR/filewatch,file_write_count_window>100 AND percent_encrypted>0.6
F004,Unsigned Binary Network Launch,endpoint,Unsigned/new binary initiates outbound network connections,"New executable (no signature) opens outbound sockets",T1105;T1041,Tampering,AV:A,Damage:High,execution;c2,,ip,Block network;capture pcap,EDR+netflow,binary_signed==false AND outbound_conn_count>0
F005,Fast Indicator Spread (hash churn),endpoint,Same new file hash observed across multiple hosts quickly,"Count unique hosts reporting same sha256 within short timeframe",T1490,Repudiation,AV:N,Damage:High,spread;worm,KEV:CANDIDATE,sha256,Contain hosts;blacklist hash,EDR+SIEM,sha256 seen_on_hosts_count>3 within 10m
F006,Beaconing Periodic Host Contact,network,Periodic small data transfers to external host suggesting C2,"Periodic DNS/HTTP callbacks with low variance period",T1071,C2,AV:N,Damage:Medium,beacon;c2,maestro:c2,EPSS:MID,ip/host,Block IP;investigate domain,netflow/zeek,http logs,periodicity_coefficient>0.8
F007,Lateral Movement Scan Pattern,network,Multiple internal hosts contacted across SMB/SSH ports,"High fan-out of SMB/SSH connections from one host",T1021,Tampering,AV:A,Damage:High,lateral_movement,,target_host_count>5,Isolate source;cred rotation,netflow/zeek,src_port in [22,445] AND dst_host_count>5
F008,Large Outbound Transfer to Rare IP,network,Unusually large outbound transfer to low-reputation or rare IP,"Transfer > threshold to IP with low prior occurrence (ASN rarity)",T1041,Information Disclosure,AV:N,Damage:High,exfil,KEV:CANDIDATE,ip,Block IP;investigate egress logs,proxy+netflow,bytes_out>1e7 AND ip_reputation_score<0.2
F009,DNS NXDOMAIN Spike,network,High NXDOMAIN rate for a batch indicating possible DGA or misconfig,"NXDOMAIN rate per batch > threshold and entropy high",T1566,Information Disclosure,AV:N,Damage:Medium,nxdomain;dga,KEV:CANDIDATE,domain,Block domain;track domains,dns_logs,nxdomain_rate>0.35 AND domain_entropy>2.5
F010,Impossible Travel / New Device Login,iam,Login from geographically distant locations within short window,"User login geo/time anomaly; new device fingerprint" ,T1078,Credential Access,AV:N,Damage:High,auth;account_takeover,,user,Force password reset;MFA enforce,auth logs,id in new_device_list AND impossible_travel_flag
F011,Token/Role Misuse,iam,API token used from anomalous IP or service region,"Cloud token usage from ASNs or regions not typical",T1199,Elevation of Privilege,AV:N,Damage:High,credential_theft,,token_id,Rotate keys;revoke tokens,cloud_audit,token_used_from_unusual_region
F012,Privilege Escalation Group Add,iam,Account added to privileged group and performing admin actions,"Group membership change followed by admin API calls",T1078;T1078.002,Elevation of Privilege,AV:L,Damage:High,privilege_escalation,,user,Remove account;audit actions,AD/cloud_audit,group_change_event where new_group in admins
F013,Bulk Sensitive File Read, data,Repeated reads of classified directories or many records,"High read count on sensitive paths or DB tables",T1530,Information Disclosure,AV:N,Damage:High,exfil;data_access,,file_path,Lock down account;alert DLP,EDR+DB logs,read_count>100 AND target_path matches sensitive
F014,Suspicious File Rename/Backup Deletion,data,Rapid rename/encrypt/backup script deletion pattern near backups,"Backup deletion + file rename patterns around same timestamp",T1490,Repudiation,AV:L,Damage:High,ransomware;backup_tamper,,file_path,Restore from snapshot;lock backups,EDR+backup logs,backup_delete_events>0 AND file_rename_events>50
F015,Public Cloud Bucket Enumeration,cloud,High-volume anonymous reads or list operations on cloud storage,"Many list/read operations without expected auth or from many IPs",T1530,Information Disclosure,AV:N,Damage:High,misconfig;data_leak,,bucket_name,Lock bucket;revoke public access,cloud_audit,unauthenticated_read_count>100
F016,Cross-Service Role Assumption,cloud,Unusual role assumptions across cloud services,"Role assumption events across disjoint services","T1531",Elevation of Privilege,AV:N,Damage:High,role_misuse,,role_arn,Revoke role;audit IAM,cloud_audit,role_assume_count>3 across services
F017,Broken Auth Exploit Pattern,api,401->200 transition pattern from same client indicating credential replay,"Multiple auth failures followed by success from same client IP" ,T1110,Authentication Bypass,AV:N,Damage:High,auth_bypass,,client_ip,Block client;reset tokens,api logs,401_count>5 followed_by_200_within_2m
F018,Business Logic Anomaly,api,Large atypical API calls sequence altering business state,"Spike in item creation/modification by a single client beyond expected rate",T1529,Business Logic,AV:N,Damage:High,biz_logic_abuse,,client_id,Throttle client;investigate code path,api logs,api_count>baseline*10 AND endpoint in critical_write_paths
F019,Phishing Chain Detection,mail,Email with malicious link followed by endpoint network call and process spawn,"Correlate email click event -> webrequest -> process spawn" ,T1566;T1204,Information Disclosure,AV:N,Damage:High,phishing;ransomware,EPSS:MEDIUM,urls/sha256,Block sender;quarantine,mail_logs+proxy+EDR,email_id has link AND subsequent webreq from recipient AND process spawn
